,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95
conmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfurn,337.23246135525847,684.9833013032095,1050.754791835037,1037.7315422322142,1320.500238418374,1195.0962830525762,1796.9277471931093,2413.3152050018607,2991.093634435007,938.5094379918082,660.6730131942656,676.733177967936,1064.4717233645529,1385.8282097729648
cjewl,12.95990633599378,28.082870045028955,42.14925681283679,92.65448538792081,123.67999033584958,178.4305830702268,266.33484618624317,576.3668529351356,987.9742394363019,265.5223279881736,675.63917230712,886.8826151313806,612.1973023988223,970.1677079388724
comnf,379.7741370017945,507.0302921462898,633.8417360257336,691.0281168077321,917.7707290568999,829.2973337414323,830.9197207280961,1280.570703891574,2025.6461263312813,691.0155165931494,534.9210720877329,596.5964116661885,1016.030454951719,1067.6772273081276
cwast,0.0,160.09341831515374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnfme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cstrm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cofbm,93.04904903216071,177.8348673656757,208.9998528250264,209.36505820906592,287.8356943701224,364.56275123709975,335.3359015549621,635.3880486788846,1029.2435611863068,210.62192022814637,291.75984245495664,289.55857304357136,607.203168685821,413.87974751689507
cengt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpump,0.15005492654252645,1.0083990255335056,0.5224115000723302,4.836497352616534,1.4711112229518704,3.399491805423185,6.0428582051771835,41.63235213915058,55.040514125891285,22.88127867920103,14.129876434288477,35.53830929683413,65.42605402451008,161.7043728922161
cgear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cgenm,0.15044974697653415,1.0110522975725362,0.5237860549766019,4.849223012665396,1.4749819707167222,3.408436455631936,6.058758009030267,41.7418940496968,55.18533522691014,22.94148327619048,14.167054580150152,35.631816727904706,65.59820127512398,162.1298450320339
cspcm,0.36624289786136394,2.4612252981064198,1.2750631123621816,11.804562813997899,3.590578795275831,8.297226614024535,14.748958607514902,101.61314688928934,134.3387908529135,55.84692221264096,34.48715087838313,86.73926062852236,159.6870437624705,394.6759995788318
cdoma,317.22246193274214,545.0330231696995,644.6718771610942,661.777943678832,908.5442076200765,854.9795637524841,993.9432890324604,1257.7858623924171,1617.0175314912592,316.1513373284034,450.5962421067807,534.4189483915003,667.6955034937279,819.533463133671
coffm,27.71941492508096,53.499600574134575,103.59407000910542,110.40068988407701,193.47482408112413,445.30109106226536,430.78086096115186,880.8382607695072,1116.3162027585352,357.1491471965055,333.3869781148019,539.6788508094199,826.2661395277955,900.8044389576747
celcm,16.23538585112646,24.948172614049817,53.49930080625761,62.76662210014214,69.39820020834308,268.340803608391,202.58741695671296,239.79002403482275,644.1624165752114,84.69010286157199,79.85323999699054,160.19639108073582,398.06254247764787,203.46903054704626
crdtv,167.20843856623026,234.1710336661399,293.2202322182745,367.06739940067973,403.144557940204,502.09702657657823,652.6789254941609,893.5175771395016,1056.717285943428,283.78332491138616,264.69657592951194,378.7847310468434,530.007107652524,423.1065640055177
cmeda,38.46343468318358,74.88302763574717,85.96127114479391,136.67010278066275,264.6006405075475,335.98528185705084,567.9467343309987,936.9575549712033,1963.891657134011,602.8084742770385,269.53072050259425,384.61955704109505,1028.9995574278134,2606.1110388911056
cmtvp,12.079530592489535,60.669897942682056,230.4110264160638,394.0427852576045,535.7364390230886,1811.0531153858753,3842.1207916604494,8081.765891862774,22737.85665984206,9227.72523373087,10777.704610675415,13460.557163465757,12547.780569701406,22843.983322055672
cship,1.5892052040832647,2.866202317881578,3.415142815613527,2.5256657712808375,3.1447713961253516,10.672613565583212,12.086241820687524,16.61619220994402,102.3811234264843,13.16965912443779,46.908245254081656,5.961369485233243,9.332965177894907,446.28802745987247
crail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cairc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coteq,3.815397332789362,6.881238905323328,8.199146816476132,6.063671590366504,7.550033416817514,25.623035481756613,29.01690397666376,39.892504300919825,245.79875792359934,31.61799506320542,112.61830339367255,14.312181444718647,22.40677941103101,1071.457698006008
ccnst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccsrv,27.239102847360652,48.446049080478005,62.418766269804806,71.4036066215202,113.24803505579628,137.07656521583473,267.19206467841536,367.0621454741021,811.2222829120931,317.4827376207887,268.3327004560355,141.01170385467847,400.08443274907063,488.44371359233946
ctrad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cacco,86.2892923283051,129.20782628833086,218.4541228650695,159.6658201542379,470.65589451198,483.70130922579455,744.3547931681675,1540.1764274527593,4414.636381675654,2373.6606099271767,1404.934795173541,2434.221616619854,3784.528716097942,6666.609312859531
ccats,737.8549619325305,1386.1302750928608,1888.7281026038067,2400.605889131827,2700.4607825105645,3477.177306674306,4226.925302246581,6334.986970507692,8197.09595334392,2270.9956722626375,2759.11015520021,2953.91439147034,4487.025928114066,6312.204450919082
cptrp,5484.650443245864,7349.487690144118,9527.425028560378,11109.30635731982,11966.612102500283,15727.865427802646,15502.819661411633,15228.104775046066,12444.198781291161,3393.6572696480416,1689.1806867429357,2181.252712422072,3413.357987680256,4187.07396129752
cftrp,1102.9427480926963,1046.4654610530079,876.8450780097006,4753.155419262195,1977.296999528956,8277.508757284277,9663.894326280764,2562.5740367719177,1720.0548027040036,238.3465735798321,400.5518544431156,307.93467201250576,18.66493853864723,1215.431765906061
ctrps,154.58205630006066,146.9429531596358,250.92782303295704,382.52602895774584,401.3516986284511,607.2901827592802,929.023075680079,1501.2588892423955,2402.0728117575964,748.408919696998,667.0307405544588,890.4773525258446,1325.927709520385,1728.9856614455546
cpost,19.286516159397916,35.37209232267657,51.05170996597659,55.31207913640046,71.77135687137876,82.24729902918591,120.99991861629397,207.6958105072221,224.99679103874067,45.055942628736226,57.01198840969243,78.57827686407514,174.25665035413618,130.21223123893074
celcd,2401.1929261188484,2979.5727778100154,3488.8284651919603,4163.716003027247,4981.364788522567,5918.175255626561,6867.874539008489,10173.22364503116,14448.400273810277,3593.208733648869,3642.049478178195,3899.425315012635,4759.156008482353,5615.249532643189
cwatd,208.479858824262,528.4485702287406,519.117745628422,838.3507030153527,1278.4799653557159,1453.1996705936888,1745.599352864141,3305.617045661669,5300.700326837764,1608.9570874582776,1277.1889235404014,1545.6242270409018,1648.9806681300229,1958.1304390594453
cfins,295.5208911618195,637.0068100778693,1223.583707880969,1488.3039355933304,2359.902449080869,3412.476508981558,4661.30157755276,6601.185213631793,13689.818296183246,3729.370702973592,4340.852317466961,4693.826296535493,4486.898042059544,10228.607826428784
cinsp,557.9246334844578,857.7276887046272,987.680928984519,1138.810602749969,1561.0610564790923,2336.2194365890987,4385.747707661423,9706.433062847726,27263.609792071366,9252.497297011492,10093.976676948456,12120.877150361574,13431.769806593045,20256.158530890814
cofin,1.0683251591245446,1.6423939982682718,1.891231041425344,2.1806171396256704,2.9891506871646563,4.473439334908718,8.397916737257702,18.58607063401406,52.204901023133466,17.716865422119028,19.328146836342917,23.20929608272944,25.719419352994933,38.78689429899275
creal,2789.566029733028,4260.402088095662,5691.520394194091,7504.942971942856,9460.397996568123,12774.76482527919,16814.24085341532,31072.686892396097,56681.61484608965,18524.00276976948,16422.476027562,19278.289463529272,29329.86638542366,39330.1224671981
crent,201.08054616390768,266.87087540279936,570.2752670860074,172.55612773395197,642.9241393966636,604.8751752293462,589.1887217822248,1298.334738630184,2600.365194431086,205.21087022229855,505.294986979786,267.5585880870384,590.5755852505499,445.06960880145976
crsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clacc,6.440600420421558,18.764662897043074,30.064105953005857,46.94122677220334,160.10576169478807,258.8170122718,403.2713052066173,776.5156449752096,2305.8850326438464,518.9126927683673,568.1009884925008,2052.6413352267837,1211.5978839076683,2854.029797912608
cobus,5.116510060941883,14.906931067867681,23.88337896169454,37.29081814971727,127.1904305581076,205.6081360105411,320.36480385221125,616.8757337276928,1831.8298293259622,412.23206533374974,451.3079889316681,1630.6492186493394,962.5116228563869,2267.2842937044056
ctelc,1315.3388986098448,1896.1189927588066,2336.441327770155,2837.7248007465873,3402.435164314179,4442.962690755736,5785.151249924361,8203.056988776985,13094.961037729068,3009.9823946248616,3571.6751713027365,4061.091264363206,4619.996668525989,6155.25597545009
csupp,373.05272498878446,747.7166389320491,1096.8817061115494,1633.9781896255645,1795.3862921435368,2292.639967720115,4295.621452714075,6436.1615494967955,11937.08203523204,3765.3530062640084,4162.506300886006,4889.737143591456,7388.826110021589,14540.113194153175
cmnfs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpuba,110.5046195469005,222.9086376338103,347.93080138575226,517.844851171347,931.312049554693,1079.7081764537872,1740.6477231462488,2971.4627153534298,6412.7332083341935,1678.2478944776228,1963.8395948134319,2663.3813342334647,3037.6937071432803,4702.848104948464
ceduc,256.4505243164566,620.0593811277896,835.327514508848,1201.6523056429653,1534.9799118854864,2872.0860088614,3555.598627826994,6138.8133572060615,13854.886780292176,3740.1195794665728,3610.6744493591727,4429.422035372039,3341.8093787272965,4566.702679920433
cheal,2553.9366519842933,4191.030413772022,5201.42792330103,5316.627002112764,6601.0485328419745,7497.183314062923,8622.9889625969,12812.250328034112,26504.43999645298,6505.932241021105,6113.996385840999,8628.939527473056,8349.612685572767,16344.289295307892
cosrv,727.8265402949337,1649.0857972688368,2155.2746037045736,2682.158532508606,2947.328333250294,4287.5580342231415,7480.444535512846,12085.666928928997,25844.45885589531,9390.223646564476,8446.57700893124,13804.608583395648,16399.194936572712,19850.022876713094
